playout_delay_ms = 78,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 78,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 79,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 79,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 80,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 80,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 77,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 77,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 81,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 81,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 86,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 86,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 85,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 85,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 85,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 85,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 85,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 85,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
playout_delay_ms = 83,  highThreshold()<<2=400, hightThreshold()=100, LowThreshold()=60
